1	1018
2	1474
3	2296
4	2234
5	2023
6	1757
7	1633
8	1484
9	1437
10	1328
11	1280
12	1127
13	1143
14	1051
15	981
16	885
17	857
18	769
19	714
20	674
21	585
22	582
23	472
24	494
25	424
26	430
27	389
28	353
29	323
30	306
31	295
32	236
33	225
34	198
35	157
36	167
37	178
38	122
39	135
40	125
41	117
42	100
43	105
44	84
45	66
46	75
47	80
48	60
49	51
50	58
51	41
52	46
53	35
54	33
55	35
56	40
57	27
58	23
59	27
60	19
61	17
62	19
63	17
64	10
65	20
66	12
67	14
68	18
69	12
70	10
71	12
72	10
73	9
74	12
75	4
76	8
77	8
78	2
79	4
80	8
81	7
82	2
83	1
84	4
87	2
88	5
89	2
90	2
92	1
93	1
94	1
95	1
96	2
97	1
98	4
99	1
101	3
103	1
104	2
105	1
109	1
110	1
111	1
112	3
117	1
118	1
123	1
126	1
129	1
233	1
